section,bin1,bin2,n_obs,sse_bs,sse_sabr,sse_bartlett,mse_bs,mse_sabr,mse_bartlett,gain_sabr_vs_bs,gain_bart_vs_bs,relgain_bart_vs_sabr
BUCKET,8,2,1610.0,3149429.0746763553,3439944.411614916,2965531.457419235,1956.167127128171,2136.611435785662,1841.9450046082204,-0.09224380992558623,0.05839077905763557,0.1379129710915774
BUCKET,8,3,1465.0,3415833.316486302,3784729.2125780336,3143949.648073922,2331.626837192015,2583.4329096095794,2146.0407154088202,-0.10799587155242008,0.07959512166479277,0.16930658139942156
BUCKET,8,4,1382.0,3114230.8871724564,3401158.876253072,2884292.048678314,2253.423217925077,2461.0411550311665,2087.0420033851765,-0.09213446256103697,0.07383487185913629,0.1519678575392429
BUCKET,8,5,1458.0,2950251.936816089,3273055.188024218,2701487.7568546827,2023.4924120823655,2244.8938189466517,1852.8722612172035,-0.1094154865826471,0.08431963957284017,0.17462810687117147
BUCKET,8,6,1192.0,2488444.6474270388,2759826.4825463304,2263038.5580637343,2087.6213485126164,2315.290673277123,1898.5222802548108,-0.109056810003747,0.09058111443080163,0.18000694160461816
BUCKET,8,7,382.0,1155418.1037912462,1279594.3905605045,1048478.8691861941,3024.654721966613,3349.723535498703,2744.7090816392515,-0.10747303193692526,0.0925545776495581,0.18061623517517467
BUCKET,9,1,4719.0,13812364.652500324,14345568.828042597,13583576.08118857,2926.968563784769,3039.9594888837883,2878.486137145279,-0.03860339550518255,0.016564040775620348,0.05311694196220984
BUCKET,9,2,2626.0,6714979.076855616,7011129.164542342,6435044.018233074,2557.113129038696,2669.88924773128,2450.5118119699446,-0.04410290550382512,0.04168815053905206,0.08216724193625269
BUCKET,9,3,2453.0,7443521.176925588,7812202.501028472,7036102.197845867,3034.4562482370925,3184.7543828081825,2868.3661630027996,-0.04953049979165369,0.054734710817065046,0.09934462183749482
BUCKET,9,4,2157.0,6144849.756958001,6423174.955287235,5842315.947501309,2848.79450948447,2977.827981125283,2708.5377596204494,-0.04529406077245057,0.049233719524895414,0.09043175872203069
BUCKET,9,5,2390.0,6571587.791318238,6913122.182693904,6203796.166523833,2749.6183227272963,2892.5197417129307,2595.7306136082984,-0.0519713655544356,0.05596693470036218,0.10260573984151133
BUCKET,9,6,1164.0,3486850.0901025604,3665848.940767753,3266312.978485046,2995.5756787822684,3149.3547601097534,2806.1108062586304,-0.051335401878412235,0.0632482343429418,0.1089886595815458
BUCKET,9,7,558.0,1766680.2304741144,1850189.9889878803,1659524.1107444293,3166.093603000205,3315.7526684370614,2974.05754613697,-0.04726931171429638,0.060653941715829496,0.10305205377732696
TOTAL,TOTAL,TOTAL,67285.0,99372918.4928784,108258716.906887,92313646.27355143,1476.895570972407,1608.9576712028982,1371.9795834666186,-0.08941871234913346,0.07103818954288721,0.14728671361447843
