date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-08,29,0.0794520547945205,61,0.16879309679903615,-0.4966789381806816,2.3313331532275003,0.009793291343755483
2023-02-08,30,0.0821917808219178,145,0.17007967353768416,-0.5150273003493347,2.455743511427394,0.005443675403433162
2023-02-08,33,0.0904109589041095,90,0.1678662119491297,-0.5323281688434213,2.2642468876620754,0.0036331948857571505
2023-02-08,37,0.1013698630136986,649,0.1658198297798145,-0.43664383757917274,2.4980354848983906,0.019647111187346064
2023-02-08,44,0.1205479452054794,92,0.1837324183630488,-0.6179497782908097,2.0504583610361706,0.003482519302754751
2023-02-08,51,0.1397260273972602,360,0.17860705992604536,-0.5997479510828685,2.043794401433916,0.008430888260482002
2023-02-08,72,0.1972602739726027,579,0.17318904966370754,-0.6338474022253379,2.015022268461913,0.010044366191383084
2023-02-08,79,0.2164383561643835,291,0.16961899993737706,-0.610268386929876,2.0558388008527544,0.010772151438025077
2023-02-08,100,0.273972602739726,521,0.18005952379923587,-0.6584727426733114,1.5817770380632408,0.007397207779762184
2023-02-08,112,0.3068493150684931,162,0.18121611424677778,-0.7118994888618272,1.3768100743577238,0.005625105115122751
2023-02-08,128,0.3506849315068493,485,0.18051178999390521,-0.6959935295699201,1.459207694253509,0.008827149298983032
2023-02-08,142,0.3890410958904109,322,0.18207163328762918,-0.7109114140973511,1.3813208409183744,0.008466285622899914
2023-02-08,163,0.4465753424657534,208,0.1815480186214341,-0.7236835592810181,1.399284903587722,0.013339848992838086
2023-02-08,173,0.473972602739726,127,0.17824576437883022,-0.6741217602495654,1.4239718159467065,0.00791791184708795
2023-02-08,191,0.5232876712328767,126,0.18148234198479682,-0.7311870304181505,1.2751034281986369,0.006222763502013645
2023-02-09,1,0.0027397260273972,90,0.27671201768030496,0.999,5.0,0.17862968894636985
2023-02-09,4,0.010958904109589,76,0.13153547595303602,0.3352177644637084,5.0,0.04141427337560086
2023-02-09,5,0.0136986301369863,99,0.19884639199906817,-0.05707408017149872,5.0,0.03661943870565891
2023-02-09,6,0.0164383561643835,95,0.2042769149020624,-0.06465086787260375,3.5194359911119655,0.025719204833199217
2023-02-09,7,0.0191780821917808,113,0.2008515472061289,-0.11843910001669657,4.083514223537045,0.028818033753970768
2023-02-09,8,0.021917808219178,397,0.18796554586180048,0.059981027470658595,5.0,0.06584999933236906
2023-02-09,12,0.0328767123287671,102,0.17550891723423379,-0.2074227079506538,3.2741527034056292,0.018521247925587674
2023-02-09,13,0.0356164383561643,103,0.182553320553579,-0.25384579955667996,2.382717160501139,0.013704830831727329
2023-02-09,14,0.0383561643835616,101,0.17991407848387742,-0.2704629443368222,2.9662827331453228,0.018163095409715672
2023-02-09,15,0.0410958904109589,144,0.18039940577300437,-0.2962831200073838,2.5217065857266183,0.01828593232872914
2023-02-09,18,0.0493150684931506,109,0.17217670135048346,-0.31342866612301856,2.4241668840323927,0.012503571021335166
2023-02-09,19,0.0520547945205479,180,0.16686041585134384,-0.3069428747879665,2.318385113986115,0.01850777088642889
2023-02-09,20,0.0547945205479452,91,0.176333670974545,-0.40158651439882703,2.0470560787171856,0.012829571236746372
2023-02-09,21,0.0575342465753424,88,0.1741898111067714,-0.38213127437990796,2.5492525086639097,0.011356051719312029
2023-02-09,22,0.0602739726027397,146,0.1780515303519391,-0.4247023411192549,1.7610258686894633,0.016267141104284885
2023-02-09,25,0.0684931506849315,109,0.17004229073229116,-0.4052507445042451,2.1325881668500064,0.010025039847561281
2023-02-09,26,0.0712328767123287,74,0.16973882976509175,-0.385532876804632,2.248058341593869,0.010824946069363961
2023-02-09,27,0.073972602739726,47,0.17468905044710623,-0.4064982204157384,1.7417288329846583,0.010237938901387956
